id,created_at,updated_at,school_id,user_id,name,slug,description,is_default,is_shared,layout_config,widget_configs,filters,refresh_interval_seconds,metadata
31e4e684-9126-4f50-4a76-5d9db04c2100,2025-06-18T21:04:40.140Z,2025-10-23T16:22:25.094Z,4f68cba7-6170-4ab1-21f9-a7a23a74f8c0,52f0edcc-bfb7-4f33-ad2e-fd54c484c769,Golden Plate,sample_text_439,sample_text_9963,true,true,sample_text_2764,sample_text_9636,sample_text_7935,523,sample_text_5664
7c0c86c0-45a6-4527-4f7b-4df39fe8e709,2025-11-11T21:19:37.447Z,2025-08-20T07:30:33.629Z,fe4720c1-f369-4760-b122-6b324f08f3a3,ea49fb72-2050-42e2-81c3-091e5dbcc276,City Kitchen,sample_text_4344,sample_text_8116,true,true,sample_text_9454,sample_text_696,sample_text_5531,491,sample_text_816
1b8d2ddc-e58d-493b-438e-5029ab8da258,2025-08-08T23:34:08.155Z,2025-09-18T11:30:11.228Z,3f4d6f7d-05f7-4310-de9f-ae93e46984db,8ac01f7d-9c30-4771-a900-d8fc5dd68b28,Fresh & Co,sample_text_5933,sample_text_1592,false,true,sample_text_5949,sample_text_788,sample_text_2002,41,sample_text_1999
945ea46c-5d22-438c-0d55-b83691560ae2,2025-05-25T07:42:26.363Z,2026-03-22T15:27:49.620Z,314cdd92-266e-488d-cf88-6e18f6db8ca6,2f694710-7063-42cd-b6b6-33ab87581536,Mountain View Cafe,sample_text_7032,sample_text_408,true,false,sample_text_7931,sample_text_5274,sample_text_4046,763,sample_text_591
17ebf924-9ac6-4134-7e20-a94853618d2a,2026-04-12T00:06:01.510Z,2025-06-10T09:33:50.277Z,921679af-a07e-442d-b254-00f81e5f665d,cf7e2aea-c07d-4ed1-1fc0-69c3d64d741c,Green Leaf Bistro,sample_text_6274,sample_text_5366,false,true,sample_text_9396,sample_text_830,sample_text_5842,542,sample_text_9474
c21fa576-9080-4ff0-c660-3cba0e084c73,2025-06-02T01:02:06.346Z,2026-01-23T12:36:03.118Z,32a1daeb-123e-4dbe-b622-aea59b73722d,b3ab5a31-3db7-455f-604b-d752ad0d37c7,Sunrise Bistro,sample_text_8973,sample_text_9851,false,true,sample_text_2877,sample_text_2103,sample_text_9818,281,sample_text_5716
3ecc4ee2-88f0-4f44-63d1-34b1460f8fc7,2025-11-21T20:56:04.775Z,2025-09-29T20:51:00.616Z,2a4e5e57-fab3-47be-aa17-438ff8cedd26,8ac01f7d-9c30-4771-a900-d8fc5dd68b28,Firebird Pizza,sample_text_3445,sample_text_8496,true,true,sample_text_1313,sample_text_1752,sample_text_5023,568,sample_text_5991
be254457-6725-4810-d9ff-f5304b43edd7,2025-05-03T12:36:46.327Z,2026-03-04T15:06:23.812Z,e394ca10-b5a0-45cc-8730-3524aff8641a,72571b3c-f6ea-4a2a-2118-2d3a77def4dd,The Local Table,sample_text_3266,sample_text_8119,false,false,sample_text_4530,sample_text_9953,sample_text_3418,622,sample_text_1382
084f346e-a357-40ff-ad5f-f0e37d3a43f9,2025-12-27T22:58:46.059Z,2025-11-13T21:37:59.929Z,837a9baf-7fed-4fe4-630e-eeaf60164bcb,faab496b-a78d-4496-aa0f-1f0957801a80,The Brass Tap,sample_text_1478,sample_text_400,true,false,sample_text_4962,sample_text_9754,sample_text_9306,524,sample_text_6946
ea634a9d-c942-4539-8950-7fb7be6fc4a2,2025-05-23T18:15:52.724Z,2025-06-15T12:00:30.576Z,f3e56a9d-701d-4138-17b4-468168466ac1,1f944d7a-c145-4606-b226-ca59addffefd,The Brass Tap,sample_text_6947,sample_text_7050,true,false,sample_text_1866,sample_text_8856,sample_text_4664,83,sample_text_9301
f29e9407-c13b-4c07-bd0c-5925847f86d6,2025-05-12T11:04:49.837Z,2025-08-23T00:54:29.468Z,1c4d8e9f-05af-4567-fc15-60738335dd73,6a49f986-fadb-4bcd-512c-c56d68c9b08b,Stone Oven Bakery,sample_text_3807,sample_text_1748,false,true,sample_text_8129,sample_text_915,sample_text_9425,296,sample_text_8934
56260720-aeb8-4e14-7fe9-bc5a5c4d5dea,2026-03-15T14:29:36.446Z,2026-03-10T07:52:33.679Z,c8bf5171-97bd-4a3c-df89-c4059e1474e2,8ac01f7d-9c30-4771-a900-d8fc5dd68b28,City Kitchen,sample_text_528,sample_text_6125,true,true,sample_text_7438,sample_text_6684,sample_text_4411,291,sample_text_1422
