id,student_id,school_id,config_id,risk_score,risk_level,previous_level,level_changed,risk_factors,trajectory,confidence_level,recommended_actions,metrics_snapshot,trigger_type,computed_at,created_at
9792a29e-fbb2-485f-3bf2-5ddf29f6e7c2,4b7cf6ad-bee5-43d3-4470-e6643cf6983e,b017f20d-2b75-45dd-64d2-722f145a78d0,6102968b-897d-437a-890b-316f2bce9016,455.37,watch,watch,true,sample_text_4457,stable,102.49,sample_text_7922,sample_text_2280,manual,2026-01-27T06:00:33.156Z,2025-10-15T18:10:29.822Z
30c1a8c6-97cf-4f16-3084-8cb9d0868af5,e66f5152-bb91-495c-70a1-919b8657aacd,2bd4f3bc-df4b-49c7-997f-c11868da495a,b6b48427-ef43-4c99-d43d-03d0dfbc0dae,408.87,on_track,at_risk,false,sample_text_9205,improving,640.14,sample_text_8643,sample_text_6664,batch_nightly,2025-08-21T07:25:29.814Z,2026-03-30T07:21:39.899Z
7be4bb45-ba49-4910-a4a1-cb5189855e2b,4ca4247e-c61f-4837-bf77-9c36a300d1a6,1612581f-ee93-42bd-8ca1-106ca3f5fb8d,cd2fdee8-07b6-4668-39b9-b5f2eb783bb6,159.04,watch,at_risk,false,sample_text_6873,stable,345.61,sample_text_5202,sample_text_3260,manual,2025-04-15T07:12:56.633Z,2025-05-29T11:05:31.428Z
38ac05d7-4aba-44be-b982-b4b8c8a64c87,5ad3d718-54d7-4cd2-1fcf-87aea33287e9,7e8192d3-756a-4974-209e-dc1ea1cca26e,fedd2ec4-9079-4585-92e4-8f187adb6077,335.56,on_track,watch,false,sample_text_1589,declining,919.63,sample_text_6658,sample_text_2969,sync_event,2025-07-03T16:52:38.675Z,2026-03-09T16:48:41.471Z
df8eea6b-9dd3-406c-38b5-a84a5958ce7d,08c9d53b-5bb4-4a4e-3e69-2fcd9679e99e,545d1106-2b34-4e12-24da-7673253ca1d7,9be48baf-ea62-428b-5314-b93e866b53ee,638.08,on_track,critical,true,sample_text_8053,improving,869.99,sample_text_3190,sample_text_1242,batch_nightly,2025-08-25T09:47:24.707Z,2026-01-20T17:04:28.956Z
ca8295ea-2a98-4142-e084-e5658858cb42,824fd656-898c-4a31-aa57-ef6e1d6c346d,e536d26c-1212-499f-3401-979cc6978147,535fe904-0115-4f50-ff51-0eaf66dbaa12,419.09,watch,watch,false,sample_text_7255,stable,32.37,sample_text_2108,sample_text_9332,manual,2025-08-23T21:31:41.273Z,2025-12-24T12:50:09.205Z
c6244d16-b6c2-4e44-8ec5-54d00bf6f682,ca649c96-10ee-4d76-dcea-e4beca9603df,baeb778f-0236-4ea0-497b-a0d46e5c6619,f7be2c0e-c24c-46c4-da0f-acd1a398cf5f,925.52,at_risk,on_track,true,sample_text_5226,declining,968.84,sample_text_3186,sample_text_8120,batch_nightly,2026-01-08T07:13:18.673Z,2025-08-22T19:51:23.906Z
eeb285eb-66eb-49f4-6bb0-e920ff205030,4ca4247e-c61f-4837-bf77-9c36a300d1a6,661bcb95-f84e-4871-e1c4-675bf8171439,7e11bf19-f618-405d-a65a-b71fca80e360,584.16,watch,critical,true,sample_text_7818,declining,461.44,sample_text_6288,sample_text_4063,batch_nightly,2025-10-05T06:31:48.166Z,2025-07-06T18:55:39.456Z
df5876b3-bb9a-4aa1-0990-8c0cd9da05b3,09e8d1ef-f5f0-41fa-38f3-10bac079d03c,baeb778f-0236-4ea0-497b-a0d46e5c6619,ba3c335f-0f94-42bd-b920-49b7e4cc9f58,877.53,on_track,critical,false,sample_text_7720,improving,757.41,sample_text_2875,sample_text_8956,batch_nightly,2025-08-28T15:29:02.486Z,2025-05-19T03:54:04.364Z
d9dfb02c-cc3c-43cb-acaa-b64919b30601,31e6dcd8-7b5b-4c54-b419-66da1259c0d7,7e8192d3-756a-4974-209e-dc1ea1cca26e,b6b48427-ef43-4c99-d43d-03d0dfbc0dae,233.75,watch,on_track,true,sample_text_8311,declining,856.13,sample_text_2106,sample_text_7142,manual,2025-11-30T09:31:08.613Z,2025-12-25T17:53:38.893Z
