id,created_at,updated_at,user_id,school_id,module_slug,module_category,is_started,started_at,is_completed,completed_at,sections_completed,total_sections,current_section,time_spent_minutes,is_bookmarked,bookmarked_at,user_notes,metadata
393665eb-15b5-47a5-bbd8-732dba191e95,2026-02-19T08:33:55.171Z,2026-02-14T01:35:22.540Z,9c9bf7cc-e7e9-4ae2-6497-3685d6fe38d9,1612581f-ee93-42bd-8ca1-106ca3f5fb8d,sample_text_2810,sample_text_161,false,2026-02-19T21:32:31.991Z,false,2025-04-28T09:13:41.699Z,597,731,925,470,false,2025-08-24T23:46:39.668Z,sample_text_5421,sample_text_4401
c9925c78-70a8-48fa-2915-85f65ebf6c39,2026-02-02T16:30:46.448Z,2025-05-03T23:24:00.935Z,cf7e2aea-c07d-4ed1-1fc0-69c3d64d741c,13f8f388-7de1-4383-f922-a0d8a397e76c,sample_text_9857,sample_text_1191,true,2025-11-21T08:17:41.540Z,true,2025-05-14T09:26:57.982Z,828,692,536,996,true,2025-09-21T05:27:52.847Z,sample_text_257,sample_text_1811
f312ac46-fe11-437a-d2b4-c739a28be7db,2026-01-21T14:29:43.617Z,2026-03-07T14:27:53.787Z,621e454c-d590-4953-4dc4-27d658cef254,10539e4e-19ad-49ff-5fb1-13c6a13a9cc0,sample_text_1618,sample_text_3359,true,2025-12-14T00:36:17.041Z,false,2025-04-28T09:08:28.953Z,621,544,39,1000,true,2026-03-21T08:46:11.853Z,sample_text_7123,sample_text_9168
bc0da4bb-1078-49cf-91a7-7de54ca27238,2025-10-02T01:49:16.834Z,2026-03-17T02:19:29.648Z,db60da3b-65f5-43f8-0cf6-3a1af6e416bd,b017f20d-2b75-45dd-64d2-722f145a78d0,sample_text_9830,sample_text_9621,true,2025-11-09T16:17:43.221Z,false,2025-12-11T14:33:15.216Z,504,141,258,928,false,2025-06-02T06:44:59.229Z,sample_text_8521,sample_text_5856
a67ffc0b-f1a9-47bb-68c0-23797c1b6645,2025-09-07T00:41:32.471Z,2026-03-25T00:33:45.247Z,2fd3b0e9-a8a5-42ef-ecf1-96898dccef87,b1160aa4-615e-46be-c33f-53b664f1618f,sample_text_4729,sample_text_6870,false,2026-02-04T20:51:28.099Z,false,2026-02-26T02:57:24.337Z,643,742,461,368,true,2026-03-14T16:35:14.867Z,sample_text_9446,sample_text_3502
276175f1-5157-446c-9e8b-d37065332288,2026-02-15T04:21:12.496Z,2025-09-20T02:45:13.740Z,d9edb57f-a55c-4a07-df66-d6f8356c9964,16c0f045-ad9e-4d23-8922-374a2534b914,sample_text_4681,sample_text_2583,false,2025-11-05T15:31:28.754Z,false,2025-12-31T12:36:09.167Z,719,15,696,905,true,2025-12-18T12:53:13.289Z,sample_text_220,sample_text_1351
00a255e7-613e-4744-5559-2a844a41d498,2026-01-20T20:26:54.683Z,2025-12-15T02:32:16.596Z,9c9bf7cc-e7e9-4ae2-6497-3685d6fe38d9,e394ca10-b5a0-45cc-8730-3524aff8641a,sample_text_6115,sample_text_3031,true,2025-11-04T18:50:54.100Z,false,2025-09-17T17:14:34.664Z,450,823,313,422,false,2025-12-04T23:24:24.601Z,sample_text_6527,sample_text_5771
40ceba87-b618-4007-52e3-4ac37574abfe,2025-09-24T10:30:40.751Z,2025-08-10T00:29:58.485Z,8ac01f7d-9c30-4771-a900-d8fc5dd68b28,5b1b6bbb-ac85-477d-9a11-d480281a4b21,sample_text_9335,sample_text_1891,false,2025-09-11T07:31:33.750Z,false,2025-06-14T08:05:40.971Z,136,953,71,906,true,2025-12-14T17:29:20.623Z,sample_text_4565,sample_text_3823
3a793426-139e-4dc8-c065-12e140b24e50,2025-08-07T10:15:34.862Z,2025-04-20T03:08:37.462Z,6601188e-454e-46f8-39d3-12e3a2450d73,4f68cba7-6170-4ab1-21f9-a7a23a74f8c0,sample_text_7866,sample_text_728,true,2025-10-14T08:11:01.376Z,false,2025-07-09T14:23:31.973Z,20,516,872,629,false,2025-05-20T03:08:58.341Z,sample_text_9041,sample_text_9399
0807c9b9-509b-4bf7-1d57-0b979e932d25,2026-01-31T18:05:16.445Z,2026-03-23T23:07:05.522Z,b8378524-c3b6-4652-6983-adbddb7aa9dd,c41be56c-1b03-4f83-3798-7ff82c84c273,sample_text_3832,sample_text_7028,false,2025-09-09T12:26:56.300Z,false,2025-06-29T10:15:34.452Z,726,916,957,721,true,2025-09-14T07:54:49.595Z,sample_text_9423,sample_text_1509
6c603c39-997c-4078-a484-d1b818d8c831,2025-05-18T21:06:07.309Z,2025-09-21T04:10:50.374Z,ade33206-8c00-4f20-4bf1-7781c1eb9609,3d03d7a9-93e0-4b8e-6b5b-e7f8337fab48,sample_text_9124,sample_text_7440,false,2025-09-21T01:25:33.683Z,false,2026-03-10T06:22:57.542Z,856,315,525,612,false,2025-06-20T17:49:25.076Z,sample_text_4491,sample_text_218
b4922e7e-25a7-4ea3-99db-62d03a22adb6,2026-03-04T20:33:38.444Z,2025-09-10T21:39:15.154Z,01576ed3-e96e-415a-7c79-d2b4e79c9251,921679af-a07e-442d-b254-00f81e5f665d,sample_text_9578,sample_text_5948,false,2025-05-08T04:53:43.580Z,true,2025-12-08T01:54:10.288Z,206,592,19,45,false,2025-09-09T20:28:18.288Z,sample_text_1300,sample_text_2397
fc172863-04bf-47de-e567-2a384aee089a,2025-07-26T07:25:47.851Z,2025-09-28T18:14:05.357Z,3bfa1ef4-6a42-4cc6-e6e5-1989f79cca90,fecc715c-91cf-4144-4e6d-27d53565cfa5,sample_text_8565,sample_text_6911,false,2025-08-03T16:02:17.135Z,false,2025-10-17T17:41:43.058Z,651,67,747,836,true,2025-11-06T04:47:46.641Z,sample_text_3203,sample_text_2277
076d5c13-6121-4d7e-a224-cab1cc30daa3,2025-11-05T15:42:46.765Z,2025-09-16T11:56:18.795Z,d686c193-7466-44fb-b1a6-37325154df4c,837a9baf-7fed-4fe4-630e-eeaf60164bcb,sample_text_4767,sample_text_8916,true,2025-05-07T16:45:55.585Z,false,2025-06-18T06:00:35.390Z,552,235,664,967,false,2025-04-19T12:03:44.683Z,sample_text_5881,sample_text_554
00edd623-57f0-463f-038d-97c6f7c9d3de,2026-04-02T20:46:30.573Z,2026-02-07T21:28:54.934Z,7a4c360c-bb74-4deb-f15e-c8b948e7a622,94519cc1-bdc7-4549-769e-8964efcea7c6,sample_text_4930,sample_text_3345,true,2025-09-19T14:59:05.699Z,false,2025-04-20T11:13:46.391Z,664,649,638,98,true,2026-01-28T17:03:56.076Z,sample_text_839,sample_text_142
25c063eb-9607-4bda-56be-f0a5b234eff4,2025-12-28T00:31:34.462Z,2025-05-13T03:15:13.031Z,2fd3b0e9-a8a5-42ef-ecf1-96898dccef87,837a9baf-7fed-4fe4-630e-eeaf60164bcb,sample_text_1629,sample_text_5549,true,2026-02-17T09:19:31.137Z,false,2025-08-25T12:43:13.396Z,438,703,995,605,false,2025-11-06T10:05:02.531Z,sample_text_1104,sample_text_5164
b76eba98-c312-41a0-6fd2-e1211b2fec96,2025-07-19T16:32:57.373Z,2025-07-14T14:27:54.761Z,01576ed3-e96e-415a-7c79-d2b4e79c9251,13905047-dc05-4f11-21d1-ceb2ff2a4ead,sample_text_9344,sample_text_1926,false,2025-05-29T21:24:11.948Z,false,2025-11-14T07:18:56.648Z,861,219,320,967,true,2025-10-06T02:47:08.368Z,sample_text_8624,sample_text_7190
a93580ce-7e9f-499d-e925-ca26417c7767,2025-12-14T21:02:14.575Z,2025-08-02T09:17:48.017Z,621e454c-d590-4953-4dc4-27d658cef254,76fb7096-3d5c-4180-3013-e7a55c8b02bb,sample_text_6855,sample_text_7947,true,2025-07-27T13:58:41.084Z,true,2026-01-01T01:56:26.862Z,874,246,208,960,false,2025-12-06T16:45:08.331Z,sample_text_7962,sample_text_4887
a59a32fe-16ed-4d31-eea9-6ccf7814376f,2025-10-27T18:13:22.167Z,2025-09-10T23:55:08.758Z,b19a9a30-5bc1-42f9-ac14-0842a27abbe0,f902ac6e-7076-46f8-2ee0-d0970401682b,sample_text_2647,sample_text_503,false,2025-05-23T13:14:32.196Z,true,2025-07-23T18:37:59.628Z,37,680,983,165,true,2026-02-19T14:05:48.781Z,sample_text_6515,sample_text_8910
4aebcc58-e0b4-4228-b68d-fe4012b429df,2025-07-04T07:22:37.476Z,2025-10-09T11:43:27.463Z,af45888d-3cda-415b-1d81-91022a417bde,59faa8f0-e266-467f-aa62-7fd97008cad7,sample_text_5397,sample_text_129,false,2025-09-07T05:11:00.466Z,false,2025-10-10T11:20:57.787Z,72,962,382,693,true,2025-11-05T17:30:12.899Z,sample_text_498,sample_text_6574
67643355-ebad-41a7-5577-ceb7245b6b8e,2025-10-31T06:00:05.653Z,2025-07-04T16:58:13.427Z,d9edb57f-a55c-4a07-df66-d6f8356c9964,e536d26c-1212-499f-3401-979cc6978147,sample_text_5792,sample_text_8792,true,2026-01-26T16:24:33.428Z,true,2026-03-09T17:44:49.801Z,784,363,48,780,true,2026-02-06T21:53:59.162Z,sample_text_9614,sample_text_1300
c55c58e4-e6e7-4184-8bbd-a19d3e6b54f0,2025-09-03T12:41:54.496Z,2025-06-03T20:54:04.280Z,01576ed3-e96e-415a-7c79-d2b4e79c9251,469af544-bb26-4d4c-4b28-ab15c4812991,sample_text_1880,sample_text_9232,false,2025-08-27T12:45:56.966Z,true,2025-05-23T13:38:25.001Z,677,769,177,382,true,2025-06-25T12:36:24.992Z,sample_text_7733,sample_text_8254
9c5aa246-babc-4760-b8bf-a0721423f754,2025-04-13T03:01:02.160Z,2025-07-30T12:01:20.135Z,3f95f74e-1bdc-41c3-893d-2d90a62d76bc,f0fe80e2-ee98-4631-fd46-bedaa4937130,sample_text_1531,sample_text_2390,true,2025-07-08T02:24:37.544Z,true,2025-12-22T13:22:06.057Z,506,873,766,704,false,2025-08-28T12:54:30.098Z,sample_text_517,sample_text_5838
