id,created_at,updated_at,name,slug,contact_email,is_active
4cc9d6a8-8b2d-4897-ac9b-5dd5da304dd5,2025-05-25T15:48:53.389Z,2025-12-27T20:04:01.803Z,Stone Oven Bakery,sample_text_9668,masked_6ul1dg@example.com,false
c024f1f6-c456-46e7-94d4-ac1f38c4cee7,2025-11-27T00:49:04.495Z,2026-01-17T09:28:36.679Z,The Brass Tap,sample_text_6352,masked_47xurm@example.com,true
c497d03e-8510-4195-2840-8e123a999ac9,2025-10-13T17:48:43.108Z,2025-09-14T01:14:05.986Z,The Rustic Fork,sample_text_8778,masked_r0q3ug@example.com,true
deb90f38-89af-41dc-91d3-7c7a9798c719,2026-03-22T07:51:45.853Z,2025-05-06T07:33:32.299Z,The Brass Tap,sample_text_7481,masked_yljw39@example.com,true
b317c7da-ead0-42cd-41bf-e8a2e1f0bc54,2025-12-07T18:04:00.614Z,2025-07-27T09:08:15.822Z,Red Pepper Thai,sample_text_4142,masked_mjgi1r@example.com,false
2ce2cf20-2b72-455c-19e6-3cf3b25ac04a,2025-08-12T17:35:15.308Z,2026-03-30T22:56:37.517Z,Golden Plate,sample_text_2906,masked_u7wj4b@example.com,false
7afcbaeb-7a6b-42e0-0474-f9942285435f,2025-08-13T12:05:21.085Z,2025-04-20T07:26:52.551Z,City Kitchen,sample_text_5107,masked_fww3f1@example.com,false
6c77ea8a-dc7d-4aec-258b-7a4e2cb555c5,2025-11-08T20:46:19.078Z,2025-08-24T14:04:54.482Z,Luna Restaurant,sample_text_9654,masked_jymkvc@example.com,false
c1fbbe86-632c-44de-bb3c-f199955f2d39,2025-09-08T23:45:36.612Z,2025-08-26T10:35:19.020Z,Blue Ocean Sushi,sample_text_9979,masked_67ddo6@example.com,true
27da9194-c1a2-4753-f3ce-bf715488bac2,2025-05-01T18:31:25.223Z,2025-11-13T17:21:32.688Z,Fresh & Co,sample_text_6588,masked_b8j1ap@example.com,false
0c18da1b-12b1-43b9-9dd0-0165f64b4e4d,2025-07-07T07:46:45.149Z,2025-12-12T10:19:34.408Z,The Local Table,sample_text_3668,masked_40zqu8@example.com,false
50f4cde8-fe1c-4256-5d46-f7132421442a,2025-04-22T19:22:21.548Z,2025-06-23T05:29:04.280Z,Cloud Nine Cafe,sample_text_2846,masked_1wm6de@example.com,false
3b9b7b79-7627-447c-7025-c04cec0433c0,2025-08-08T09:45:19.286Z,2026-03-18T18:32:35.944Z,Stone Oven Bakery,sample_text_7199,masked_g0gii2@example.com,false
cac532d6-299b-499d-308a-6f12c5e104a8,2025-05-27T09:16:11.893Z,2026-03-14T08:23:05.423Z,Fresh & Co,sample_text_1241,masked_ljd7cr@example.com,false
8fabfb11-ccb2-4c06-b573-431d67d9e700,2026-03-22T09:44:49.237Z,2025-12-14T19:23:51.889Z,Sunrise Bistro,sample_text_6689,masked_yr24qe@example.com,true
12cef442-7264-4809-8d46-9086f32d32e7,2025-06-28T02:11:49.071Z,2026-03-15T07:10:14.627Z,The Brass Tap,sample_text_1025,masked_2rp512@example.com,true
b89538fe-5c3d-4e4b-f237-0bf01c8bade4,2025-12-31T18:47:58.481Z,2025-04-18T19:26:27.693Z,City Kitchen,sample_text_943,masked_fjp0tv@example.com,true
8eda8b3a-1753-4659-48ce-5ff400cf6471,2026-01-06T14:52:26.227Z,2025-10-25T11:39:52.230Z,Green Leaf Bistro,sample_text_6234,masked_rhe6dg@example.com,false
