id,created_at,updated_at,user_id,school_id,role,is_primary,sis_staff_id,department,grade_levels,is_active,invited_at,accepted_at
221205cb-8dd3-4504-7575-80500d4d7079,2026-01-14T11:48:04.035Z,2025-07-14T01:04:03.105Z,4b5660c5-6ded-4e88-5938-1722c262ea15,3d03d7a9-93e0-4b8e-6b5b-e7f8337fab48,counselor,true,sample_text_3311,ELA,sample_text_8605,false,2025-05-03T10:27:24.160Z,2025-12-26T07:54:04.968Z
cf6aa663-f700-498b-da30-4a0369f1a392,2025-04-30T21:03:15.624Z,2025-06-27T22:54:13.125Z,1f944d7a-c145-4606-b226-ca59addffefd,4f68cba7-6170-4ab1-21f9-a7a23a74f8c0,teacher,true,sample_text_283,Math,sample_text_534,true,2025-06-27T21:12:57.876Z,2025-07-16T16:46:48.646Z
2d61ce3c-2f48-469b-3efd-201d56cf92b5,2025-07-21T19:07:15.642Z,2025-12-27T04:57:40.098Z,616cd82a-150d-43e4-e90b-50dd3877886b,fecc715c-91cf-4144-4e6d-27d53565cfa5,school_admin,true,sample_text_3809,Science,sample_text_5180,false,2026-04-11T11:20:36.850Z,2025-04-12T12:02:43.804Z
4a17ad1b-4ff2-4951-729d-3da76f3445ad,2025-05-22T20:34:59.928Z,2026-01-20T08:11:53.849Z,6cd68fef-f7ed-4b57-a09f-e6e7ee2302bd,b017f20d-2b75-45dd-64d2-722f145a78d0,counselor,true,sample_text_8423,Counseling,sample_text_1747,true,2025-05-24T13:51:46.011Z,2025-12-11T22:49:02.291Z
79ce9f8e-08fb-4064-f060-8ba8d9d375b1,2025-10-30T04:20:46.171Z,2025-12-05T16:46:45.561Z,2fd3b0e9-a8a5-42ef-ecf1-96898dccef87,8fcce2e7-79c7-439d-1c00-1a62a46a56f2,teacher,false,sample_text_8256,Math,sample_text_2739,true,2025-11-17T19:49:58.654Z,2025-09-01T13:48:24.466Z
bb794b99-1f27-4531-b323-0171569d1402,2025-06-10T23:21:22.423Z,2026-03-23T21:59:19.473Z,d1707a15-e071-4bbb-65ff-4dfa7f902567,1eca3985-996e-497f-4644-294968d742b8,teacher,true,sample_text_8171,Math,sample_text_1692,false,2025-09-24T06:19:33.217Z,2025-08-08T02:58:04.643Z
a709c863-41f1-4a79-4618-72022e6f1f25,2026-02-20T12:48:48.644Z,2025-10-22T05:51:09.877Z,01576ed3-e96e-415a-7c79-d2b4e79c9251,24557b57-0c13-4c0c-a3e9-39903a1a94a3,school_admin,false,sample_text_724,Math,sample_text_6500,true,2026-04-06T02:50:45.352Z,2025-09-12T07:06:18.047Z
e2bb9047-def6-4b9b-09d8-de292c9d6f5b,2025-10-25T08:30:37.252Z,2025-06-02T08:59:35.041Z,54566fd8-2ce9-43f1-d9c4-3262fe0540e9,f0fe80e2-ee98-4631-fd46-bedaa4937130,teacher,false,sample_text_1651,Math,sample_text_5856,true,2025-06-17T02:18:01.566Z,2025-09-13T22:42:09.070Z
f258869e-5355-4294-b061-1cf2ade230a6,2025-11-13T07:15:13.493Z,2026-01-16T06:30:07.661Z,e4a45791-4bec-432e-83c4-834772750abf,1eca3985-996e-497f-4644-294968d742b8,teacher,true,sample_text_573,Counseling,sample_text_8142,true,2025-06-21T06:23:56.298Z,2025-11-26T01:17:00.999Z
6b510bb5-ce55-4389-b6f1-c484e8fad5c3,2025-10-01T03:57:25.804Z,2025-08-12T10:57:27.788Z,f8d9b2f5-6abe-4500-e812-54aa85e6d1f7,89bd14e2-cf78-45ab-904a-7a7f0f4a4010,teacher,false,sample_text_5862,Social Studies,sample_text_5750,false,2026-03-08T09:41:38.723Z,2026-01-18T12:40:41.129Z
